active_debris_updated,,,,,,,,,,,,,,,,,,,,,,,,
INTLDES,NORAD_CAT_ID,OBJECT_TYPE,SATNAME,COUNTRY,LAUNCH,SITE,DECAY,PERIOD,INCLINATION,APOGEE,PERIGEE,COMMENT,COMMENTCODE,RCSVALUE,RCS_SIZE,FILE,LAUNCH_YEAR,LAUNCH_NUM,LAUNCH_PIECE,CURRENT,OBJECT_NAME,OBJECT_ID,OBJECT_NUMBER,satname
1983-072C,25842,DEBRIS,ATLAS 75E DEB,US,1983-07-14,AFWTR,,367.41,65.33,19395.0,1834.0,,,0,SMALL,9319,1983,72,C,Y,ATLAS 75E DEB,1983-072C,25842,
1999-057W,26134,DEBRIS,CZ-4 DEB,PRC,1999-10-14,TSC,,105.44,98.95,1325.0,705.0,,,0,SMALL,9319,1999,57,W,Y,CZ-4 DEB,1999-057W,26134,
1999-057JL,26351,DEBRIS,CZ-4 DEB,PRC,1999-10-14,TSC,,99.11,98.63,755.0,677.0,,,0,SMALL,9319,1999,57,JL,Y,CZ-4 DEB,1999-057JL,26351,
1981-021L,26509,DEBRIS,COSMOS 1249 COOLANT,CIS,1981-03-05,TTMTR,,103.44,64.96,966.0,876.0,,,0,SMALL,9319,1981,21,L,Y,COSMOS 1249 COOLANT,1981-021L,26509,
1975-052KB,26701,DEBRIS,DELTA 1 DEB,US,1975-06-12,AFWTR,,106.26,99.78,1246.0,861.0,,,0,SMALL,9319,1975,52,KB,Y,DELTA 1 DEB,1975-052KB,26701,
1985-056M,26787,DEBRIS,ARIANE 1 DEB,FR,1985-07-02,FRGUI,,636.42,6.72,35212.0,1050.0,,,0,MEDIUM,9319,1985,56,M,Y,ARIANE 1 DEB,1985-056M,26787,
1988-109M,26810,DEBRIS,ARIANE 44LP DEB,FR,1988-12-11,FRGUI,,666.28,6.19,36937.0,846.0,,1.0,0,MEDIUM,9319,1988,109,M,Y,ARIANE 44LP DEB,1988-109M,26810,
1990-065W,27405,DEBRIS,CRRES DEB (CANISTER),US,1990-07-25,AFETR,,393.65,17.88,22531.0,297.0,,1.0,0,MEDIUM,9319,1990,65,W,Y,CRRES DEB (CANISTER),1990-065W,27405,
2002-024D,27433,DEBRIS,CZ-4B DEB,PRC,2002-05-15,TSC,,101.8,98.95,854.0,834.0,,,0,LARGE,9319,2002,24,D,Y,CZ-4B DEB,2002-024D,27433,
1975-052LD,27576,DEBRIS,DELTA 1 DEB,US,1975-06-12,AFWTR,,105.25,99.3,1093.0,920.0,,,0,SMALL,9319,1975,52,LD,Y,DELTA 1 DEB,1975-052LD,27576,
1999-057MS,27678,DEBRIS,CZ-4 DEB,PRC,1999-10-14,TSC,,100.43,98.86,855.0,703.0,,,0,SMALL,9319,1999,57,MS,Y,CZ-4 DEB,1999-057MS,27678,
1976-077FS,27727,DEBRIS,DELTA 1 DEB,US,1976-07-29,AFWTR,,123.25,102.72,2164.0,1487.0,,,0,SMALL,9319,1976,77,FS,Y,DELTA 1 DEB,1976-077FS,27727,
1991-082W,28309,DEBRIS,DMSP 5D-2 F11 DEB,US,1991-11-28,AFWTR,,101.22,98.72,828.0,805.0,,,0,SMALL,9319,1991,82,W,Y,DMSP 5D-2 F11 DEB,1991-082W,28309,
1991-082Z,28312,DEBRIS,DMSP 5D-2 F11 DEB,US,1991-11-28,AFWTR,,101.01,98.63,814.0,799.0,,,0,SMALL,9319,1991,82,Z,Y,DMSP 5D-2 F11 DEB,1991-082Z,28312,
1989-006AH,28566,DEBRIS,ARIANE 2 DEB,FR,1989-01-27,FRGUI,,629.01,7.17,35162.0,719.0,,1.0,0,MEDIUM,9319,1989,6,AH,Y,ARIANE 2 DEB,1989-006AH,28566,
1988-005K,28995,DEBRIS,METEOR 2-17 DEB,CIS,1988-01-30,PKMTR,,102.47,82.53,880.0,871.0,,3.0,0,SMALL,9319,1988,5,K,Y,METEOR 2-17 DEB,1988-005K,28995,
1981-037E,29203,DEBRIS,COSMOS 1266 COOLANT,CIS,1981-04-21,TTMTR,,103.45,64.76,954.0,889.0,,,0,SMALL,9319,1981,37,E,Y,COSMOS 1266 COOLANT,1981-037E,29203,
1989-039DZ,29489,DEBRIS,SL-12 DEB,CIS,1989-05-31,TTMTR,,321.32,61.55,16991.0,1333.0,,3.0,0,MEDIUM,9319,1989,39,DZ,Y,SL-12 DEB,1989-039DZ,29489,
1999-025AB,29737,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,113.78,99.58,1940.0,860.0,,,0,SMALL,9319,1999,25,AB,Y,FENGYUN 1C DEB,1999-025AB,29737,
1999-025FV,29875,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,101.06,98.41,869.0,749.0,,,0,SMALL,9319,1999,25,FV,Y,FENGYUN 1C DEB,1999-025FV,29875,
1999-025HP,29917,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,105.08,98.88,1162.0,834.0,,,0,SMALL,9319,1999,25,HP,Y,FENGYUN 1C DEB,1999-025HP,29917,
1999-025JH,29935,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,101.82,98.46,953.0,737.0,,,0,SMALL,9319,1999,25,JH,Y,FENGYUN 1C DEB,1999-025JH,29935,
1999-025JY,29950,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,102.1,98.74,882.0,835.0,,,0,MEDIUM,9319,1999,25,JY,Y,FENGYUN 1C DEB,1999-025JY,29950,
1999-025KE,29956,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,102.41,98.79,912.0,833.0,,,0,MEDIUM,9319,1999,25,KE,Y,FENGYUN 1C DEB,1999-025KE,29956,
1999-025LP,29989,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,101.71,98.67,928.0,751.0,,,0,SMALL,9319,1999,25,LP,Y,FENGYUN 1C DEB,1999-025LP,29989,
1999-025QP,30086,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,102.58,98.91,925.0,836.0,,,0,SMALL,9319,1999,25,QP,Y,FENGYUN 1C DEB,1999-025QP,30086,
1999-025RC,30099,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,100.99,98.54,849.0,762.0,,,0,SMALL,9319,1999,25,RC,Y,FENGYUN 1C DEB,1999-025RC,30099,
1999-025RM,30108,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,101.61,98.66,978.0,692.0,,,0,SMALL,9319,1999,25,RM,Y,FENGYUN 1C DEB,1999-025RM,30108,"Globalstar M097 (Globalstar 78, Globalstar 2-19)"
1999-025SR,30136,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,103.2,98.56,1004.0,816.0,,,0,SMALL,9319,1999,25,SR,Y,FENGYUN 1C DEB,1999-025SR,30136,
1999-025WE,30221,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,99.6,98.96,843.0,636.0,,,0,SMALL,9319,1999,25,WE,Y,FENGYUN 1C DEB,1999-025WE,30221,
1999-025XC,30243,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,101.91,98.69,858.0,840.0,,,0,SMALL,9319,1999,25,XC,Y,FENGYUN 1C DEB,1999-025XC,30243,
1999-025AAJ,30321,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,101.65,98.66,880.0,794.0,,,0,SMALL,9319,1999,25,AAJ,Y,FENGYUN 1C DEB,1999-025AAJ,30321,
1999-025ABM,30350,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,104.14,98.09,1115.0,793.0,,,0,SMALL,9319,1999,25,ABM,Y,FENGYUN 1C DEB,1999-025ABM,30350,
1999-025ACS,30379,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,102.27,98.76,892.0,840.0,,,0,SMALL,9319,1999,25,ACS,Y,FENGYUN 1C DEB,1999-025ACS,30379,
1999-025ADT,30404,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,107.92,99.83,1413.0,848.0,,,0,SMALL,9319,1999,25,ADT,Y,FENGYUN 1C DEB,1999-025ADT,30404,
1999-025AGN,30475,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,101.72,98.79,871.0,810.0,,,0,SMALL,9319,1999,25,AGN,Y,FENGYUN 1C DEB,1999-025AGN,30475,
1999-025AHB,30489,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,101.71,98.47,940.0,739.0,,,0,SMALL,9319,1999,25,AHB,Y,FENGYUN 1C DEB,1999-025AHB,30489,
1999-025AKH,30543,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,102.58,98.83,934.0,828.0,,,0,SMALL,9319,1999,25,AKH,Y,FENGYUN 1C DEB,1999-025AKH,30543,
1999-025ALA,30560,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,101.62,98.66,918.0,753.0,,,0,SMALL,9319,1999,25,ALA,Y,FENGYUN 1C DEB,1999-025ALA,30560,Ofeq 10
1999-025ALE,30564,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,102.44,98.8,1021.0,727.0,,,0,SMALL,9319,1999,25,ALE,Y,FENGYUN 1C DEB,1999-025ALE,30564,
1999-025ALM,30571,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,102.08,98.73,872.0,842.0,,,0,SMALL,9319,1999,25,ALM,Y,FENGYUN 1C DEB,1999-025ALM,30571,
1999-025AQC,30670,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,101.71,98.71,868.0,811.0,,,0,SMALL,9319,1999,25,AQC,Y,FENGYUN 1C DEB,1999-025AQC,30670,
1999-025AQX,30689,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,102.0,98.71,934.0,773.0,,,0,SMALL,9319,1999,25,AQX,Y,FENGYUN 1C DEB,1999-025AQX,30689,
1999-025ASN,30728,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,101.16,98.53,885.0,742.0,,,0,SMALL,9319,1999,25,ASN,Y,FENGYUN 1C DEB,1999-025ASN,30728,
1999-025AVG,30822,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,102.03,98.74,908.0,802.0,,,0,SMALL,9319,1999,25,AVG,Y,FENGYUN 1C DEB,1999-025AVG,30822,
1999-025BGN,31092,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,106.95,99.71,1330.0,841.0,,,0,SMALL,9319,1999,25,BGN,Y,FENGYUN 1C DEB,1999-025BGN,31092,
1966-040AQ,31142,DEBRIS,NIMBUS 2 DEB,US,1966-05-15,AFWTR,,106.65,100.61,1115.0,1028.0,,,0,SMALL,9319,1966,40,AQ,Y,NIMBUS 2 DEB,1966-040AQ,31142,
1999-025BQK,31331,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,102.81,98.87,930.0,853.0,,,0,SMALL,9319,1999,25,BQK,Y,FENGYUN 1C DEB,1999-025BQK,31331,
1999-025CAP,31633,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,102.39,98.72,920.0,824.0,,1.0,0,SMALL,9319,1999,25,CAP,Y,FENGYUN 1C DEB,1999-025CAP,31633,
1999-025CDQ,31717,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,102.46,96.93,1010.0,740.0,,3.0,0,SMALL,9319,1999,25,CDQ,Y,FENGYUN 1C DEB,1999-025CDQ,31717,
1999-025CEM,31738,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,103.98,99.36,1172.0,721.0,,,0,SMALL,9319,1999,25,CEM,Y,FENGYUN 1C DEB,1999-025CEM,31738,
1999-025CEQ,31741,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,100.71,99.06,921.0,664.0,,1.0,0,SMALL,9319,1999,25,CEQ,Y,FENGYUN 1C DEB,1999-025CEQ,31741,
1999-025CNA,31949,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,101.63,98.54,926.0,746.0,,,0,SMALL,9319,1999,25,CNA,Y,FENGYUN 1C DEB,1999-025CNA,31949,
1999-025CPN,31985,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,101.2,98.22,924.0,707.0,,,0,SMALL,9319,1999,25,CPN,Y,FENGYUN 1C DEB,1999-025CPN,31985,
1999-025CSB,32133,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,101.55,98.43,858.0,806.0,,,0,SMALL,9319,1999,25,CSB,Y,FENGYUN 1C DEB,1999-025CSB,32133,
1999-025CSK,32141,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,102.6,98.74,935.0,829.0,,,0,SMALL,9319,1999,25,CSK,Y,FENGYUN 1C DEB,1999-025CSK,32141,
1999-025CYL,32343,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,101.42,98.61,935.0,717.0,,,0,SMALL,9319,1999,25,CYL,Y,FENGYUN 1C DEB,1999-025CYL,32343,
1999-025DAF,32419,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,102.14,97.94,1066.0,654.0,,,0,SMALL,9319,1999,25,DAF,Y,FENGYUN 1C DEB,1999-025DAF,32419,
1999-025DGN,33701,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,102.7,98.66,983.0,789.0,,,0,SMALL,9319,1999,25,DGN,Y,FENGYUN 1C DEB,1999-025DGN,33701,IRIS (Interface Region Imaging Spectrometer)
1993-036FJ,33975,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,102.82,73.8,1031.0,753.0,,,0,SMALL,9319,1993,36,FJ,Y,COSMOS 2251 DEB,1993-036FJ,33975,
1993-036FR,33982,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,98.62,74.07,746.0,640.0,,,0,SMALL,9319,1993,36,FR,Y,COSMOS 2251 DEB,1993-036FR,33982,
1993-036GD,33994,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,99.92,74.04,771.0,738.0,,,0,SMALL,9319,1993,36,GD,Y,COSMOS 2251 DEB,1993-036GD,33994,
1993-036GU,34009,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,100.47,74.04,800.0,762.0,,,0,SMALL,9319,1993,36,GU,Y,COSMOS 2251 DEB,1993-036GU,34009,
1993-036JG,34045,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,100.41,74.04,796.0,760.0,,,0,MEDIUM,9319,1993,36,JG,Y,COSMOS 2251 DEB,1993-036JG,34045,
1993-036XS,34672,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,100.25,74.03,787.0,754.0,,,0,SMALL,9319,1993,36,XS,Y,COSMOS 2251 DEB,1993-036XS,34672,
1993-036AAF,34761,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,100.14,74.03,791.0,739.0,,,0,SMALL,9319,1993,36,AAF,Y,COSMOS 2251 DEB,1993-036AAF,34761,
1993-036AEU,34965,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,99.4,74.05,749.0,711.0,,,0,SMALL,9319,1993,36,AEU,Y,COSMOS 2251 DEB,1993-036AEU,34965,
1993-036AFZ,35012,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,99.62,74.02,798.0,682.0,,,0,SMALL,9319,1993,36,AFZ,Y,COSMOS 2251 DEB,1993-036AFZ,35012,
1993-036AHP,35060,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,99.89,74.04,766.0,741.0,,,0,SMALL,9319,1993,36,AHP,Y,COSMOS 2251 DEB,1993-036AHP,35060,
1999-025DKL,35108,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,102.35,98.8,968.0,772.0,,,0,SMALL,9319,1999,25,DKL,Y,FENGYUN 1C DEB,1999-025DKL,35108,
1999-025DKZ,35121,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,102.51,98.3,992.0,763.0,,,0,SMALL,9319,1999,25,DKZ,Y,FENGYUN 1C DEB,1999-025DKZ,35121,
1999-025DLB,35123,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,101.11,99.12,847.0,776.0,,,0,SMALL,9319,1999,25,DLB,Y,FENGYUN 1C DEB,1999-025DLB,35123,
1999-057SA,35322,DEBRIS,CZ-4 DEB,PRC,1999-10-14,TSC,,101.81,99.11,986.0,703.0,,,0,SMALL,9319,1999,57,SA,Y,CZ-4 DEB,1999-057SA,35322,
1987-068CQ,35521,DEBRIS,SL-14 DEB,CIS,1987-08-18,PKMTR,,103.7,82.55,940.0,927.0,,1.0,0,SMALL,9319,1987,68,CQ,Y,SL-14 DEB,1987-068CQ,35521,
1987-068CS,35523,DEBRIS,SL-14 DEB,CIS,1987-08-18,PKMTR,,102.27,82.52,878.0,854.0,,1.0,0,SMALL,9319,1987,68,CS,Y,SL-14 DEB,1987-068CS,35523,
1999-025DSW,36173,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,101.04,98.21,913.0,703.0,,,0,SMALL,9319,1999,25,DSW,Y,FENGYUN 1C DEB,1999-025DSW,36173,
1999-025DUP,36214,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,99.32,99.07,757.0,696.0,,3.0,0,SMALL,9319,1999,25,DUP,Y,FENGYUN 1C DEB,1999-025DUP,36214,
1999-025DVM,36236,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,104.2,98.85,1067.0,847.0,,,0,SMALL,9319,1999,25,DVM,Y,FENGYUN 1C DEB,1999-025DVM,36236,
1999-025DXF,36278,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,101.6,99.12,879.0,790.0,,,0,SMALL,9319,1999,25,DXF,Y,FENGYUN 1C DEB,1999-025DXF,36278,Chuangxin-3
1999-025DXG,36279,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,101.79,98.56,889.0,798.0,,,0,SMALL,9319,1999,25,DXG,Y,FENGYUN 1C DEB,1999-025DXG,36279,
1982-025AJ,36348,DEBRIS,METEOR 2-8 DEB,CIS,1982-03-25,PKMTR,,100.58,82.47,791.0,781.0,,1.0,0,SMALL,9319,1982,25,AJ,Y,METEOR 2-8 DEB,1982-025AJ,36348,
1987-011Q,36936,DEBRIS,COSMOS 1818 COOLANT,CIS,1987-02-01,TTMTR,,100.02,65.0,769.0,750.0,,,0,SMALL,9319,1987,11,Q,Y,COSMOS 1818 COOLANT,1987-011Q,36936,
2006-006CR,36959,DEBRIS,BREEZE-M DEB,CIS,2006-02-28,TTMTR,,156.12,51.92,6066.0,386.0,,1.0,0,SMALL,9319,2006,6,CR,Y,BREEZE-M DEB,2006-006CR,36959,
1999-025EDU,37036,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,102.6,98.71,972.0,791.0,,,0,SMALL,9319,1999,25,EDU,Y,FENGYUN 1C DEB,1999-025EDU,37036,
1978-026KB,37664,DEBRIS,DELTA 1 DEB,US,1978-03-05,AFWTR,,103.69,98.77,989.0,877.0,,,0,SMALL,9319,1978,26,KB,Y,DELTA 1 DEB,1978-026KB,37664,
1993-036BQX,37996,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,102.16,74.07,1021.0,700.0,,,0,SMALL,9319,1993,36,BQX,Y,COSMOS 2251 DEB,1993-036BQX,37996,
1999-025EPV,38124,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,107.39,97.81,1373.0,839.0,,,0,SMALL,9319,1999,25,EPV,Y,FENGYUN 1C DEB,1999-025EPV,38124,
1999-025EQW,38149,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,100.99,98.36,861.0,750.0,,,0,SMALL,9319,1999,25,EQW,Y,FENGYUN 1C DEB,1999-025EQW,38149,
2011-043D,38314,DEBRIS,CZ-4B DEB,PRC,2011-08-15,TSC,,107.28,99.53,1299.0,903.0,,,0,SMALL,9319,2011,43,D,Y,CZ-4B DEB,2011-043D,38314,
2009-072D,38325,DEBRIS,CZ-4C DEB,PRC,2009-12-15,TSC,,106.96,100.52,1203.0,969.0,,,0,SMALL,9319,2009,72,D,Y,CZ-4C DEB,2009-072D,38325,
1965-027BS,38365,DEBRIS,OPS 4682 DEB,US,1965-04-03,AFWTR,,110.85,90.24,1287.0,1245.0,,,0,SMALL,9319,1965,27,BS,Y,OPS 4682 DEB,1965-027BS,38365,
1965-027CD,38376,DEBRIS,OPS 4682 DEB,US,1965-04-03,AFWTR,,111.13,90.24,1299.0,1258.0,,,0,SMALL,9319,1965,27,CD,Y,OPS 4682 DEB,1965-027CD,38376,
1965-027DD,38400,DEBRIS,OPS 4682 DEB,US,1965-04-03,AFWTR,,110.91,90.25,1294.0,1243.0,,,0,SMALL,9319,1965,27,DD,Y,OPS 4682 DEB,1965-027DD,38400,
1965-027DT,38414,DEBRIS,OPS 4682 DEB,US,1965-04-03,AFWTR,,110.94,90.23,1299.0,1241.0,,,0,SMALL,9319,1965,27,DT,Y,OPS 4682 DEB,1965-027DT,38414,
1965-027DV,38416,DEBRIS,OPS 4682 DEB,US,1965-04-03,AFWTR,,111.13,90.24,1303.0,1254.0,,,0,SMALL,9319,1965,27,DV,Y,OPS 4682 DEB,1965-027DV,38416,
1965-027EP,38434,DEBRIS,OPS 4682 DEB,US,1965-04-03,AFWTR,,111.01,90.24,1297.0,1249.0,,,0,SMALL,9319,1965,27,EP,Y,OPS 4682 DEB,1965-027EP,38434,
2008-011CR,38642,DEBRIS,BREEZE-M DEB,CIS,2008-03-14,TTMTR,,466.59,48.75,26219.0,880.0,,,0,SMALL,9319,2008,11,CR,Y,BREEZE-M DEB,2008-011CR,38642,
2009-072H,38660,DEBRIS,CZ-4C DEB,PRC,2009-12-15,TSC,,111.38,100.49,1409.0,1171.0,,,0,SMALL,9319,2009,72,H,Y,CZ-4C DEB,2009-072H,38660,
1980-073P,38837,DEBRIS,METEOR 2-6 DEB,CIS,1980-09-09,PKMTR,,94.34,81.2,498.0,475.0,,,0,SMALL,9319,1980,73,P,Y,METEOR 2-6 DEB,1980-073P,38837,
1986-019VU,39106,DEBRIS,ARIANE 1 DEB,FR,1986-02-22,FRGUI,,101.42,98.4,871.0,781.0,,,0,SMALL,9319,1986,19,VU,Y,ARIANE 1 DEB,1986-019VU,39106,
1992-093JU,39303,DEBRIS,SL-16 DEB,CIS,1992-12-25,TTMTR,,101.77,70.91,881.0,804.0,,,0,SMALL,9319,1992,93,JU,Y,SL-16 DEB,1992-093JU,39303,
1994-029AEX,39312,DEBRIS,PEGASUS DEB,US,1994-05-19,AFWTR,,98.12,81.98,811.0,526.0,,,0,SMALL,9319,1994,29,AEX,Y,PEGASUS DEB,1994-029AEX,39312,
1993-036BUM,39582,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,96.03,74.01,589.0,548.0,,3.0,0,SMALL,9319,1993,36,BUM,Y,COSMOS 2251 DEB,1993-036BUM,39582,
1997-051AAG,39594,DEBRIS,IRIDIUM 33 DEB,US,1997-09-14,TTMTR,,95.43,86.38,546.0,533.0,,1.0,0,SMALL,9319,1997,51,AAG,Y,IRIDIUM 33 DEB,1997-051AAG,39594,
1987-060P,39646,DEBRIS,COSMOS 1867 COOLANT,CIS,1987-07-10,TTMTR,,100.44,65.01,790.0,770.0,,,0,SMALL,9319,1987,60,P,Y,COSMOS 1867 COOLANT,1987-060P,39646,
1987-060AG,39669,DEBRIS,COSMOS 1867 COOLANT,CIS,1987-07-10,TTMTR,,100.43,65.01,788.0,770.0,,,0,SMALL,9319,1987,60,AG,Y,COSMOS 1867 COOLANT,1987-060AG,39669,INS-1A (ISRO Nano Satellite)
1987-060AQ,39677,DEBRIS,COSMOS 1867 COOLANT,CIS,1987-07-10,TTMTR,,100.44,65.0,789.0,770.0,,,0,SMALL,9319,1987,60,AQ,Y,COSMOS 1867 COOLANT,1987-060AQ,39677,
1992-093KR,39725,DEBRIS,SL-16 DEB,CIS,1992-12-25,TTMTR,,101.56,71.17,895.0,770.0,,1.0,0,SMALL,9319,1992,93,KR,Y,SL-16 DEB,1992-093KR,39725,
1997-051AAQ,39783,DEBRIS,IRIDIUM 33 DEB,US,1997-09-14,TTMTR,,94.78,86.13,512.0,504.0,,,0,SMALL,9319,1997,51,AAQ,Y,IRIDIUM 33 DEB,1997-051AAQ,39783,
1987-020EM,39813,DEBRIS,COSMOS 1823 DEB,CIS,1987-02-20,PKMTR,,115.31,73.64,1495.0,1444.0,,,0,SMALL,9319,1987,20,EM,Y,COSMOS 1823 DEB,1987-020EM,39813,
1987-020FD,39829,DEBRIS,COSMOS 1823 DEB,CIS,1987-02-20,PKMTR,,115.92,73.61,1518.0,1477.0,,1.0,0,SMALL,9319,1987,20,FD,Y,COSMOS 1823 DEB,1987-020FD,39829,
1992-093LV,39867,DEBRIS,SL-16 DEB,CIS,1992-12-25,TTMTR,,101.38,70.97,925.0,724.0,,1.0,0,SMALL,9319,1992,93,LV,Y,SL-16 DEB,1992-093LV,39867,
1981-053NB,39941,DEBRIS,COSMOS 1275 DEB,CIS,1981-06-04,PKMTR,,103.89,83.02,1016.0,868.0,,,0,SMALL,9319,1981,53,NB,Y,COSMOS 1275 DEB,1981-053NB,39941,
2002-040F,39999,DEBRIS,MSG 1 DEB (BAFFLE COVER),EUME,2002-08-28,FRGUI,,1412.19,12.01,35705.0,34930.0,,,0,,9319,2002,40,F,Y,MSG 1 DEB (BAFFLE COVER),2002-040F,39999,
1993-036BVS,40237,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,97.59,74.03,646.0,640.0,,1.0,0,SMALL,9319,1993,36,BVS,Y,COSMOS 2251 DEB,1993-036BVS,40237,
1999-025EWR,40685,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,103.94,99.34,1069.0,821.0,,3.0,0,SMALL,9319,1999,25,EWR,Y,FENGYUN 1C DEB,1999-025EWR,40685,
1984-072F,40704,DEBRIS,METEOR 2-11 DEB,CIS,1984-07-05,PKMTR,,102.98,82.52,918.0,881.0,,,0,SMALL,9319,1984,72,F,Y,METEOR 2-11 DEB,1984-072F,40704,
1976-077GE,40761,DEBRIS,DELTA 1 DEB,US,1976-07-29,AFWTR,,118.9,102.48,1776.0,1488.0,,,0,SMALL,9319,1976,77,GE,Y,DELTA 1 DEB,1976-077GE,40761,
1999-025EXN,41008,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,105.82,99.31,1405.0,660.0,,1.0,0,SMALL,9319,1999,25,EXN,Y,FENGYUN 1C DEB,1999-025EXN,41008,
2000-055U,41061,DEBRIS,NOAA 16 DEB,US,2000-09-21,AFWTR,,101.2,98.7,830.0,801.0,,,0,SMALL,9319,2000,55,U,Y,NOAA 16 DEB,2000-055U,41061,
2000-055Z,41066,DEBRIS,NOAA 16 DEB,US,2000-09-21,AFWTR,,101.36,98.68,835.0,811.0,,,0,SMALL,9319,2000,55,Z,Y,NOAA 16 DEB,2000-055Z,41066,
2000-055AQ,41081,DEBRIS,NOAA 16 DEB,US,2000-09-21,AFWTR,,101.4,99.22,924.0,726.0,,,0,SMALL,9319,2000,55,AQ,Y,NOAA 16 DEB,2000-055AQ,41081,
2015-020H,41720,DEBRIS,BREEZE-KM DEB,CIS,2015-03-31,PKMTR,,111.54,82.49,1474.0,1121.0,,,0,SMALL,9319,2015,20,H,Y,BREEZE-KM DEB,2015-020H,41720,
