active_debris_updated,,,,,,,,,,,,,,,,,,,,,,,,
INTLDES,NORAD_CAT_ID,OBJECT_TYPE,SATNAME,COUNTRY,LAUNCH,SITE,DECAY,PERIOD,INCLINATION,APOGEE,PERIGEE,COMMENT,COMMENTCODE,RCSVALUE,RCS_SIZE,FILE,LAUNCH_YEAR,LAUNCH_NUM,LAUNCH_PIECE,CURRENT,OBJECT_NAME,OBJECT_ID,OBJECT_NUMBER,satname
1990-019C,20517,DEBRIS,USA 53 DEB,US,1990-02-28,AFETR,,,,,,NO LONGER ON ORBIT,,0,,1,1990,19,C,Y,USA 53 DEB,1990-019C,20517,
1990-019D,20518,DEBRIS,USA 53 DEB,US,1990-02-28,AFETR,,,,,,NO LONGER ON ORBIT,,0,,1,1990,19,D,Y,USA 53 DEB,1990-019D,20518,
1990-019E,20519,DEBRIS,USA 53 DEB,US,1990-02-28,AFETR,,,,,,NO LONGER ON ORBIT,,0,,1,1990,19,E,Y,USA 53 DEB,1990-019E,20519,
1990-019F,20520,DEBRIS,USA 53 DEB,US,1990-02-28,AFETR,,,,,,NO LONGER ON ORBIT,,0,,1,1990,19,F,Y,USA 53 DEB,1990-019F,20520,
1990-019G,20521,DEBRIS,USA 53 DEB,US,1990-02-28,AFETR,,,,,,NO LONGER ON ORBIT,,0,,1,1990,19,G,Y,USA 53 DEB,1990-019G,20521,
1989-061E,22263,DEBRIS,USA 40 R/B DEB,US,1989-08-08,AFETR,,,,,,NO LONGER ON ORBIT,,0,,1,1989,61,E,Y,USA 40 R/B DEB,1989-061E,22263,
1989-061F,22264,DEBRIS,USA 40 R/B DEB,US,1989-08-08,AFETR,,,,,,NO LONGER ON ORBIT,,0,,1,1989,61,F,Y,USA 40 R/B DEB,1989-061F,22264,
1989-061H,22267,DEBRIS,USA 40 R/B DEB,US,1989-08-08,AFETR,,,,,,NO LONGER ON ORBIT,,0,,1,1989,61,H,Y,USA 40 R/B DEB,1989-061H,22267,
1989-061J,22268,DEBRIS,USA 40 R/B DEB,US,1989-08-08,AFETR,,,,,,NO LONGER ON ORBIT,,0,,1,1989,61,J,Y,USA 40 R/B DEB,1989-061J,22268,
1989-061K,22718,DEBRIS,USA 40 R/B DEB,US,1989-08-08,AFETR,,,,,,NO LONGER ON ORBIT,,0,,1,1989,61,K,Y,USA 40 R/B DEB,1989-061K,22718,
1993-026D,22786,DEBRIS,ALEXIS DEB,US,1993-04-25,AFWTR,,,,,,NO LONGER ON ORBIT,,0,,1,1993,26,D,Y,ALEXIS DEB,1993-026D,22786,
1994-017D,23103,DEBRIS,USA 101 DEB,US,1994-03-13,AFWTR,,,,,,NO LONGER ON ORBIT,,0,,1,1994,17,D,Y,USA 101 DEB,1994-017D,23103,
1994-017E,23128,DEBRIS,USA 101 DEB,US,1994-03-13,AFWTR,,,,,,NO LONGER ON ORBIT,,0,,1,1994,17,E,Y,USA 101 DEB,1994-017E,23128,
1989-061P,23160,DEBRIS,USA 40 R/B DEB,US,1989-08-08,AFETR,,,,,,NO LONGER ON ORBIT,,0,,1,1989,61,P,Y,USA 40 R/B DEB,1989-061P,23160,
1989-061Q,23161,DEBRIS,USA 40 R/B DEB,US,1989-08-08,AFETR,,,,,,NO LONGER ON ORBIT,,0,,1,1989,61,Q,Y,USA 40 R/B DEB,1989-061Q,23161,
1989-061R,23162,DEBRIS,USA 40 R/B DEB,US,1989-08-08,AFETR,,,,,,NO LONGER ON ORBIT,,0,,1,1989,61,R,Y,USA 40 R/B DEB,1989-061R,23162,
1989-061S,23163,DEBRIS,USA 40 R/B DEB,US,1989-08-08,AFETR,,,,,,NO LONGER ON ORBIT,,0,,1,1989,61,S,Y,USA 40 R/B DEB,1989-061S,23163,
1989-061T,23164,DEBRIS,USA 40 R/B DEB,US,1989-08-08,AFETR,,,,,,NO LONGER ON ORBIT,,0,,1,1989,61,T,Y,USA 40 R/B DEB,1989-061T,23164,
1989-061U,23165,DEBRIS,USA 40 R/B DEB,US,1989-08-08,AFETR,,,,,,NO LONGER ON ORBIT,,0,,1,1989,61,U,Y,USA 40 R/B DEB,1989-061U,23165,
1989-061V,23166,DEBRIS,USA 40 R/B DEB,US,1989-08-08,AFETR,,,,,,NO LONGER ON ORBIT,,0,,1,1989,61,V,Y,USA 40 R/B DEB,1989-061V,23166,
